               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.022261,           0.0092235,            0.011249,             0.93678,              0.9407,             0.98016,             0.66522,            0.014956,           0.0056061,           0.0042485,            0.005446,            0.005446,            0.005446
                  48,            0.022287,           0.0099386,            0.013228,             0.92963,             0.92307,             0.98022,             0.65859,             0.01474,           0.0055563,           0.0047256,            0.005347,            0.005347,            0.005347
                  49,            0.021443,           0.0087537,            0.010878,             0.93232,             0.92169,             0.98016,             0.66539,            0.015441,           0.0055474,           0.0046531,            0.005248,            0.005248,            0.005248
                  50,            0.023499,           0.0096138,            0.013749,             0.90767,             0.95272,             0.97508,             0.67899,            0.014874,           0.0055918,           0.0049966,            0.005149,            0.005149,            0.005149
                  51,            0.024129,           0.0095519,            0.012099,             0.90909,             0.92932,             0.96456,             0.68065,            0.014808,           0.0055145,           0.0066143,             0.00505,             0.00505,             0.00505
                  52,            0.023377,           0.0095077,            0.011955,             0.94162,             0.95121,             0.98018,             0.68614,            0.014461,           0.0054936,           0.0045888,            0.004951,            0.004951,            0.004951
                  53,            0.022617,           0.0093835,            0.012273,             0.93769,             0.91733,             0.97305,             0.67627,            0.014731,           0.0056002,           0.0050971,            0.004852,            0.004852,            0.004852
                  54,            0.024083,           0.0095779,            0.012655,             0.92905,             0.93211,             0.97544,             0.67657,            0.014397,           0.0055356,           0.0050609,            0.004753,            0.004753,            0.004753
                  55,            0.025625,           0.0088949,            0.014755,             0.96153,             0.94634,             0.98489,             0.66736,             0.01521,           0.0056287,           0.0034887,            0.004654,            0.004654,            0.004654
                  56,            0.024199,           0.0090726,            0.013428,             0.92552,             0.93811,             0.97234,             0.65595,            0.014968,           0.0056458,           0.0047074,            0.004555,            0.004555,            0.004555
                  57,            0.022945,           0.0089962,            0.011132,             0.89005,             0.88987,             0.97035,             0.65854,            0.015047,           0.0056322,            0.007409,            0.004456,            0.004456,            0.004456
                  58,            0.021016,           0.0094202,            0.011394,             0.95599,             0.96449,             0.98876,             0.68998,            0.014316,           0.0053954,           0.0027835,            0.004357,            0.004357,            0.004357
                  59,            0.023464,           0.0091993,             0.01215,             0.96475,             0.93753,             0.98656,             0.68021,            0.014717,            0.005418,           0.0031766,            0.004258,            0.004258,            0.004258
                  60,            0.023589,           0.0090391,            0.012524,              0.9476,             0.94277,             0.98584,             0.67991,            0.014444,           0.0054702,           0.0038585,            0.004159,            0.004159,            0.004159
                  61,            0.021561,           0.0090967,            0.011574,             0.96742,             0.96792,             0.98759,             0.68366,            0.014287,           0.0054463,            0.002707,             0.00406,             0.00406,             0.00406
                  62,            0.025446,           0.0094054,            0.011092,             0.84433,             0.85684,             0.96798,             0.66982,            0.014335,           0.0056375,           0.0078668,            0.003961,            0.003961,            0.003961
                  63,            0.021054,           0.0097336,           0.0099922,             0.96223,              0.9689,              0.9876,             0.67209,            0.014739,           0.0054541,           0.0028869,            0.003862,            0.003862,            0.003862
                  64,            0.021169,           0.0091928,            0.010704,             0.96597,             0.95237,              0.9834,             0.67481,            0.014927,           0.0054599,           0.0037687,            0.003763,            0.003763,            0.003763
                  65,            0.023415,            0.009235,           0.0098072,             0.96921,             0.96664,             0.98688,              0.6888,             0.01422,            0.005353,           0.0030545,            0.003664,            0.003664,            0.003664
                  66,            0.023795,           0.0093324,            0.011069,              0.9655,             0.96906,              0.9856,             0.68962,            0.014237,           0.0056121,           0.0028537,            0.003565,            0.003565,            0.003565
                  67,            0.021531,           0.0089822,           0.0099348,             0.96994,             0.96879,             0.98841,             0.68253,            0.014631,           0.0055413,           0.0029096,            0.003466,            0.003466,            0.003466
                  68,              0.0225,           0.0090154,            0.009884,             0.96187,             0.96308,              0.9889,             0.68849,            0.014278,            0.005573,           0.0027533,            0.003367,            0.003367,            0.003367
                  69,            0.021957,            0.008979,            0.011487,             0.97329,             0.97528,             0.99284,             0.69705,            0.014016,           0.0054603,           0.0020327,            0.003268,            0.003268,            0.003268
                  70,            0.024835,            0.009106,            0.010702,             0.95349,             0.97986,             0.99194,             0.69076,            0.014348,           0.0055147,           0.0024127,            0.003169,            0.003169,            0.003169
                  71,            0.021812,           0.0090744,            0.010272,             0.95987,              0.9749,             0.98927,              0.7011,            0.013918,           0.0054026,           0.0024334,             0.00307,             0.00307,             0.00307
                  72,            0.020229,           0.0091029,            0.009662,             0.98062,             0.97791,             0.99335,             0.70094,            0.013714,           0.0053833,           0.0018603,            0.002971,            0.002971,            0.002971
                  73,            0.018729,           0.0088354,           0.0070918,             0.95862,             0.97336,             0.99003,             0.70464,            0.013672,           0.0053657,           0.0026157,            0.002872,            0.002872,            0.002872
                  74,             0.02249,           0.0082564,            0.010325,             0.97902,             0.97348,             0.99224,             0.69435,            0.014538,           0.0053318,           0.0019611,            0.002773,            0.002773,            0.002773
                  75,            0.021624,           0.0087497,           0.0095057,             0.96496,             0.98268,             0.98958,             0.69679,            0.013859,           0.0053553,           0.0022955,            0.002674,            0.002674,            0.002674
                  76,            0.018066,           0.0093262,           0.0067805,             0.95057,             0.95815,              0.9896,             0.70552,            0.013777,           0.0053208,           0.0027382,            0.002575,            0.002575,            0.002575
                  77,            0.022363,           0.0090448,            0.010639,             0.98048,              0.9718,             0.99026,             0.70508,            0.013575,           0.0052884,           0.0019554,            0.002476,            0.002476,            0.002476
                  78,            0.019391,           0.0092272,            0.008315,              0.9616,             0.99349,             0.99147,             0.71669,            0.013417,           0.0052664,           0.0015916,            0.002377,            0.002377,            0.002377
                  79,            0.022484,           0.0086487,           0.0093578,             0.96581,             0.98329,             0.98906,             0.70383,            0.014005,           0.0054149,           0.0017934,            0.002278,            0.002278,            0.002278
